season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,mp,obpm,orb_pct,ows,per,stl_pct,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48,champion
2022,Andre Iguodala,SF,38,GSW,7,0.0,8.7,0.6,1.3,0.444,0.1,0.4,0.333,0.4,0.9,0.5,0.5,0.3,0.4,0.667,0.4,0.6,1.0,1.7,0.0,0.3,0.6,1.6,1.6,24.7,3.3,-2.2,0.5,7.2,0.0,0.333,0.333,61.0,-2.7,5.7,0.1,8.0,0.0,27.9,6.4,0.533,10.3,0.0,0.1,0.077,True
2022,Serge Ibaka,C,32,MIL,6,0.0,3.7,0.7,2.7,0.25,0.0,0.5,0.0,0.7,2.2,0.308,0.25,0.2,0.3,0.5,0.3,1.3,1.7,0.0,0.0,0.0,0.3,0.2,1.5,0.0,0.0,-21.1,-7.7,36.0,0.0,0.188,0.125,22.0,-13.3,9.7,-0.2,-3.9,0.0,10.6,23.3,0.267,37.2,-0.1,-0.2,-0.355,False
2022,Bones Hyland,SG,21,DEN,5,0.0,17.4,2.6,7.2,0.361,1.6,4.6,0.348,1.0,2.6,0.385,0.472,2.4,2.8,0.857,0.2,1.8,2.0,3.2,0.2,0.0,1.2,2.4,9.2,27.4,0.0,-1.1,-2.1,13.2,-0.1,0.639,0.389,87.0,0.9,1.4,0.2,13.6,0.6,12.5,7.1,0.546,24.1,0.0,0.1,0.058,False
2022,De'Andre Hunter,SF,24,ATL,5,5.0,35.0,7.8,14.0,0.557,2.4,5.2,0.462,5.4,8.8,0.614,0.643,3.2,4.0,0.8,0.4,3.4,3.8,0.6,0.8,0.2,2.2,4.0,21.2,3.5,0.6,2.9,0.8,12.0,0.1,0.371,0.286,175.0,2.1,1.4,0.3,16.8,1.2,12.2,6.6,0.673,23.6,0.2,0.4,0.108,False
2022,Kevin Huerter,SF,23,ATL,5,5.0,30.8,3.4,9.4,0.362,1.8,6.2,0.29,1.6,3.2,0.5,0.457,0.6,0.8,0.75,0.2,2.8,3.0,3.8,1.2,0.6,2.2,3.0,9.2,20.3,2.0,-0.8,1.1,11.2,0.1,0.66,0.085,154.0,-1.9,0.8,-0.2,7.7,2.0,18.4,5.9,0.472,17.9,0.0,-0.1,-0.017,False
2022,Danuel House Jr.,SF,28,UTA,6,0.0,18.7,1.5,3.7,0.409,0.3,1.7,0.2,1.2,2.0,0.583,0.455,1.0,1.3,0.75,0.3,2.5,2.8,0.7,0.0,0.2,1.0,1.2,4.3,5.5,1.1,-3.4,-0.7,15.5,0.0,0.455,0.364,112.0,-2.7,2.1,-0.1,5.2,0.0,19.0,8.8,0.509,13.2,0.0,-0.1,-0.027,False
2022,Al Horford,C,35,BOS,23,23.0,35.4,4.4,8.4,0.523,2.0,4.3,0.48,2.3,4.1,0.568,0.645,1.2,1.6,0.778,1.5,7.8,9.3,3.3,0.8,1.3,1.3,2.8,12.0,14.6,3.5,6.0,3.8,23.9,1.5,0.508,0.187,815.0,2.2,5.0,1.7,16.6,1.2,12.2,14.8,0.663,13.1,1.7,3.2,0.187,False
2022,Jrue Holiday,PG,31,MIL,12,12.0,38.6,7.4,19.6,0.379,2.1,6.6,0.316,5.3,13.0,0.41,0.432,2.2,2.6,0.839,1.0,4.6,5.6,6.5,1.8,0.6,2.8,2.3,19.1,27.6,1.5,1.6,0.7,11.8,1.0,0.336,0.132,463.0,0.9,2.8,-0.4,13.8,2.2,12.0,7.4,0.461,26.4,0.4,0.6,0.058,False
2022,Aaron Holiday,PG,25,PHO,6,0.0,3.3,1.3,2.3,0.571,0.8,1.2,0.714,0.5,1.2,0.429,0.75,0.0,0.2,0.0,0.5,0.0,0.5,1.5,0.5,0.2,0.0,0.2,3.5,98.4,4.9,49.5,14.2,0.0,0.0,0.5,0.071,20.0,35.3,18.4,0.3,63.8,7.7,0.0,8.9,0.727,33.2,0.3,0.3,0.819,False
2022,George Hill,PG,35,MIL,5,0.0,15.2,0.2,1.0,0.2,0.2,0.4,0.5,0.0,0.6,0.0,0.3,0.4,0.4,1.0,0.2,1.0,1.2,0.6,0.0,0.0,0.2,2.0,1.0,5.0,0.0,-8.0,-0.7,6.5,0.1,0.4,0.4,76.0,-7.3,1.4,0.0,0.5,0.0,14.5,4.0,0.425,3.9,-0.1,0.1,0.056,False
