player,season,fg3_per_g,fg3a_per_g,fg3_pct,champion
Marc Gasol,2019,1.4,3.7,0.382,True
Langston Galloway,2019,2.3,6.3,0.36,False
Danilo Gallinari,2019,2.2,7.2,0.302,False
Enes Freedom,2019,0.1,0.3,0.25,False
Tim Frazier,2019,0.3,0.5,0.5,False
Melvin Frazier,2019,0.0,0.0,0.0,False
Evan Fournier,2019,1.6,6.8,0.235,False
Bryn Forbes,2019,2.1,4.4,0.484,False
Terrance Ferguson,2019,1.4,3.6,0.389,False
Raymond Felton,2019,0.4,1.6,0.25,False
Blake Griffin,2019,3.0,6.5,0.462,False
JaMychal Green,2019,2.0,3.8,0.522,False
Jonas Jerebko,2019,0.3,1.2,0.263,False
James Harden,2019,4.4,12.5,0.35,False
Maurice Harkless,2019,0.4,1.8,0.25,False
Tyreke Evans,2019,2.8,5.0,0.55,False
Reggie Jackson,2019,2.3,5.3,0.429,False
Wes Iwundu,2019,0.6,1.8,0.333,False
Jonathan Isaac,2019,0.8,4.0,0.2,False
Kyrie Irving,2019,2.0,6.4,0.31,False
Joe Ingles,2019,1.6,5.8,0.276,False
Ersan İlyasova,2019,0.8,2.7,0.3,False
Andre Iguodala,2019,1.3,3.8,0.35,False
Serge Ibaka,2019,0.4,1.6,0.237,True
Danuel House Jr.,2019,1.1,4.4,0.258,False
Al Horford,2019,2.0,4.9,0.409,False
Rodney Hood,2019,1.1,3.2,0.353,False
Rondae Hollis-Jefferson,2019,0.3,0.3,1.0,False
Aaron Holiday,2019,0.3,0.7,0.5,False
George Hill,2019,1.3,3.2,0.417,False
Nenê,2019,0.0,0.0,0.0,False
Juancho Hernangómez,2019,0.2,0.4,0.5,False
Gordon Hayward,2019,1.0,2.7,0.375,False
Isaiah Hartenstein,2019,0.0,0.0,0.0,False
Tobias Harris,2019,1.8,5.3,0.349,False
Joe Harris,2019,0.8,4.2,0.19,False
Gary Harris,2019,1.4,4.1,0.351,False
Montrezl Harrell,2019,0.0,0.2,0.0,False
Kenneth Faried,2019,0.2,0.2,1.0,False
José Calderón,2019,0.0,0.0,0.0,False
Jacob Evans,2019,0.1,0.3,0.5,False
Sterling Brown,2019,0.6,1.9,0.333,False
Bruce Brown,2019,0.3,1.3,0.2,False
Malcolm Brogdon,2019,2.0,5.3,0.378,False
Chris Boucher,2019,0.5,1.5,0.333,True
Jonah Bolden,2019,0.4,1.6,0.25,False
Andrew Bogut,2019,0.0,0.0,0.0,False
Bojan Bogdanović,2019,1.8,5.5,0.318,False
Eric Bledsoe,2019,1.1,4.8,0.236,False
Khem Birch,2019,0.0,0.0,0.0,False
Patrick Beverley,2019,2.2,5.0,0.433,False
Dāvis Bertāns,2019,0.6,2.2,0.273,False
Jordan Bell,2019,0.0,0.0,0.0,False
Marco Belinelli,2019,1.1,3.0,0.381,False
Malik Beasley,2019,1.4,3.4,0.404,False
Aron Baynes,2019,0.2,0.7,0.333,False
Will Barton,2019,1.1,3.9,0.273,False
D.J. Augustin,2019,2.0,4.2,0.476,False
Giannis Antetokounmpo,2019,1.2,3.7,0.327,False
Al-Farouq Aminu,2019,0.9,3.2,0.294,False
Jarrett Allen,2019,0.0,0.0,0.0,False
Grayson Allen,2019,0.0,1.5,0.0,False
LaMarcus Aldridge,2019,0.4,1.6,0.273,False
Steven Adams,2019,0.0,0.2,0.0,False
Nikola Jokić,2019,1.6,4.0,0.393,False
Jaylen Brown,2019,1.6,4.4,0.35,False
Deonte Burton,2019,0.0,0.7,0.0,False
James Ennis III,2019,0.8,2.9,0.281,False
Jimmy Butler,2019,1.0,3.8,0.267,False
